from_id,to_id,cost,line
136,1066,19,徒歩
136,137,2,徒歩
136,904,18,徒歩
136,905,18,徒歩
1360,1405,13,徒歩
1363,1709,17,徒歩
1363,1710,18,徒歩
1363,1711,20,徒歩
1365,1729,1,京王井の頭線
1365,1729,17,徒歩
1366,1367,5,徒歩
1366,1375,17,徒歩
1366,1376,16,徒歩
1366,1376,2,JR山手線
1366,1376,3,JR京浜東北線
1366,1377,16,徒歩
1366,1378,18,徒歩
1367,1375,13,徒歩
1367,1376,11,徒歩
1367,1377,12,徒歩
1367,1378,14,徒歩
1368,1517,20,徒歩
1368,1610,18,徒歩
137,1032,14,徒歩
137,1066,2,京王線
137,1066,20,徒歩
137,904,1,京王線
137,904,17,徒歩
137,905,17,徒歩
1371,1433,4,JR青梅線
1375,1376,5,徒歩
1375,1377,5,徒歩
1375,1378,4,徒歩
1375,1719,19,徒歩
1375,1720,17,徒歩
1376,1377,1,徒歩
1376,1378,3,徒歩
1377,1378,3,徒歩
1377,1720,20,徒歩
1378,1720,20,徒歩
138,1118,20,徒歩
138,1118,5,東急目黒線
138,1325,17,徒歩
138,1325,4,東急目黒線
138,1326,19,徒歩
138,202,20,徒歩
138,203,20,徒歩
138,550,19,徒歩
1381,1742,16,徒歩
1381,1742,4,多摩モノレール
1381,1743,17,徒歩
1382,1383,19,徒歩
1382,1469,12,京王相模原線
1385,1530,4,JR総武線
139,372,3,JR京浜東北線
1392,1518,13,徒歩
1392,1707,7,伊豆箱根鉄道大雄山線
1394,1761,1,京浜急行本線
1394,1761,16,徒歩
1396,1397,2,徒歩
1396,1398,2,徒歩
1396,1399,6,徒歩
1396,1400,5,徒歩
1396,1535,2,JR南武線
1396,1535,20,徒歩
1397,1398,2,徒歩
1397,1399,5,徒歩
1397,1400,5,徒歩
1398,1399,4,徒歩
1398,1400,6,徒歩
1398,1571,4,JR青梅線
1399,1400,2,多摩モノレール
1399,1400,8,徒歩
1399,1745,7,多摩モノレール
14,20,3,東急田園都市線
14,429,3,東急田園都市線
140,347,2,JR埼京線
140,409,3,JR埼京線
1401,1745,12,徒歩
1401,1745,3,多摩モノレール
1403,1548,7,東武伊勢崎線
1403,1594,9,東武伊勢崎線
1408,1567,10,徒歩
1408,1567,2,銚子電鉄線
141,1040,2,東急世田谷線
141,1040,8,徒歩
141,1467,18,徒歩
141,610,14,徒歩
1413,1642,11,JR八高線
1414,1701,8,箱根登山鉄道線
1416,1417,13,徒歩
1416,1650,16,徒歩
1416,1651,18,徒歩
1416,1652,20,徒歩
1416,1653,18,徒歩
1417,1650,15,徒歩
1417,1651,17,徒歩
1417,1652,19,徒歩
142,1076,16,徒歩
142,1076,2,小田急小田原線
142,798,10,徒歩
142,992,15,徒歩
1421,1603,19,徒歩
1421,1603,2,小田急小田原線
1422,1489,3,東急東横線
1423,1424,1,徒歩
1425,1568,15,いすみ鉄道
1426,1444,20,徒歩
1426,1445,19,徒歩
1426,1445,5,東急大井町線
1429,1430,2,徒歩
1429,1598,14,徒歩
1429,1598,2,西武豊島線
143,1082,20,徒歩
143,1083,20,徒歩
143,1193,1,JR総武線
143,1193,17,徒歩
143,1194,14,徒歩
143,1200,19,徒歩
143,144,8,徒歩
143,1505,18,徒歩
143,1655,4,JR総武線
143,990,18,徒歩
1430,1598,13,徒歩
1434,1435,2,徒歩
1435,1572,6,秩父本線
1436,1437,3,徒歩
1436,1438,5,徒歩
1437,1438,2,東京モノレール羽田線
1437,1438,8,徒歩
144,1082,20,徒歩
144,1083,20,徒歩
144,1194,20,徒歩
144,1505,19,徒歩
1440,1508,18,徒歩
1440,1508,2,新京成電鉄線
1442,1645,2,京浜急行本線
1443,1661,14,徒歩
1443,1661,4,江ノ島電鉄線
1444,1445,1,徒歩
1444,1630,7,東急東横線
1446,1447,4,日暮里・舎人ライナー
1446,1585,20,徒歩
1446,1585,3,日暮里・舎人ライナー
1447,1593,17,徒歩
1447,1593,3,日暮里・舎人ライナー
